Sample_Id,Sample_name,depth_(m),Time,chemistry,julian_day,temperature,salinity,dissolved_oxygen,dissolved_inorganic_carbon,dissolved_organic_carbon,silicate,deep_chlorophyll_maxima,wind_speed,shortwave_radiation,daily_mean_sea_level_anomaly,mixed_layer_depth,particulate_carbon,particulate_nitrogen,particulate_phosphorus,low-level_nitrogen,low-level_phosphorus,particulate_silica,heterotrophic_bacteria_cell_counts,Prochlorococcus_cell_counts_,Synechococcus_cell_counts_,Picoeukaryote_cell_counts,chlorophyll_a,hours_of_day_light,total_autotroph_biomass,chlorophyll_c,19'-butanoyloxyfucoxanthin,fucoxanthin,19'-hexanoyloxyfucoxanthin,zeaxanthin,chlorophyll_b,pH,phosphate,nitrate_+_nitrite
1,HOT194_25m,25,0,flex,6881,26.4,35.03,205.15,1980.6,80.18,0.99,124,6.97,295.84,0.2,46.46,2.33,0.35,12.3,2.5,61.5,12.27,4.54,1.85,0.01,0.01,73,13.13,5.34,3,2,3,10,58,5,N/A,N/A,N/A
2,HOT195_25m,25,30,flex,6911,26.6,35.37,205.75,1984.4,80.49,1.26,112,7.05,284.53,-0.09,50.25,2.9,0.41,7.9,0.8,48.8,14.5,5.95,2.5,0.01,0,73,12.57,8.57,3,3,3,13,67,6,N/A,N/A,N/A
3,HOT196_25m,25,57,flex,6941,26.09,35.08,205.7,1985.3,79.88,1.23,120,8.02,257.55,1.64,79.99,2.07,0.32,10.1,0.5,55.7,16.93,4.53,2.08,0.01,0.01,91,13.35,72.18,9,6,4,16,60,9,N/A,N/A,N/A
4,HOT197_25m,25,117,flex,7001,25.03,35.04,207.03,1987.6,76.75,0.94,110,6.7,167.51,3.51,74.36,2.21,0.35,12,4.2,60.5,14.23,4.47,2.03,0,0.01,105,11.9,9.47,7,5,5,14,64,8,N/A,N/A,N/A
5,HOT198_25m,25,136,flex,7020,24.48,35.05,208.3,1987.7,74.1,1.45,108,9.09,149.24,9.63,105.37,2.05,0.34,10.1,1.5,68.4,18.09,5.04,1.47,0.06,0.02,137,10.73,4.63,11,10,5,20,54,19,N/A,N/A,N/A
6,HOT199_25m,25,176,titanium,7060,23.12,35.17,211.95,2000.6,68.88,0.92,122,10.46,166.08,-0.18,110.9,1.95,0.34,9.1,6.1,57.6,24.08,3.94,1.5,0,0.02,207,11.08,11.2,21,17,8,38,52,33,N/A,N/A,N/A
7,HOT200_25m,25,201,titanium,7085,23.49,35.17,214.6,1998.9,70.95,1.22,134,3.3,201.75,3.14,53.16,2.18,0.34,7.6,2,58.6,14.1,4.88,2.04,0.03,0.02,94,11.53,8.12,8,4,9,11,61,89,N/A,N/A,N/A
8,HOT201_25m,25,295,titanium,7179,25.18,35.12,211.4,1987.7,75.5,1.33,140,6.2,285.35,1.13,15.83,2.41,0.39,12.6,3.5,52.7,9.72,6.2,2.34,0.03,0.02,65,13.4,4.48,5,2,6,9,59,7,N/A,N/A,N/A
9,HOT202_25m,25,324,titanium,7208,25.51,35.07,209.95,1986.2,76.79,1.44,134,6.94,302.39,-3.83,59.14,2.43,0.34,6.3,3.8,58.6,27.74,4.43,1.87,0.01,0.01,84,13.53,6.4,6,3,5,11,64,7,N/A,N/A,N/A
10,HOT203_25m,25,355,titanium,7239,25.93,34.96,208.37,1985.1,78.23,1.19,130,7.98,288.54,9.58,37.66,2.16,0.29,11,2.7,95.7,33.81,4.96,1.6,0.01,0.01,79,13.25,6.16,5,3,6,9,61,7,N/A,N/A,N/A
11,HOT204_25m,25,376,titanium,7260,25.96,35,207.7,1979.2,76.77,0.94,106,5.89,287.06,18.61,49.01,2.58,0.37,11.4,3.1,58.6,34.35,6.45,2.86,0.01,0.01,103,12.9,1.8,6,4,3,14,73,20,N/A,N/A,N/A
12,HOT205_25m,25,431,titanium,7315,26.27,35.3,204.13,1986,77.73,1.07,100,5.66,250.94,0.77,61.26,3.19,0.41,19.5,4.4,3.9,13.28,6,2.16,0.01,0.01,101,11.73,20.73,7,4,2,17,74,12,N/A,N/A,N/A
13,HOT206_25m,25,482,titanium_(half_plate),7366,24.88,35.23,206.05,1994.8,80.56,0.73,108,7.17,160.19,2.17,77.75,2.29,0.31,11,3.8,31.2,18.47,5.91,2.11,0.02,0.01,132,10.85,4.48,9,7,5,16,81,8,N/A,N/A,N/A
14,HOT208_25m,25,533,titanium,7417,23.47,35.32,209.3,2001.4,76.71,1.1,128,6.04,159.28,-2.44,110.19,1.83,0.28,7.3,5.8,24.4,17.53,3.27,2.06,0.03,0.01,114,11.53,1.79,8,7,6,15,52,14,N/A,N/A,N/A
15,HOT209_25m,25,561,titanium,7445,22.9,35.33,213,2006.9,72.45,0.94,116,8.93,178.57,-4.85,100.11,1.83,0.24,7.6,3.8,26.4,21.33,3.57,1.23,0.02,0.01,94,11.45,1.93,6,5,6,12,47,10,N/A,N/A,N/A
16,HOT210_25m,25,631,titanium,7515,22.72,35.27,215.87,2013.2,75.3,1.02,110,3.76,244.66,-7.21,54.55,2.08,0.32,12,1.2,73.2,15.09,4.7,1.98,0.03,0.01,46,12.97,1.52,2,2,4,6,36,4,N/A,N/A,N/A
17,HOT211_25m,25,661,titanium_(half_plate),7544,23.85,35.39,213.1,2014.4,77.22,0.99,134,2.89,290.74,-4.66,13.24,1.86,0.27,10.1,2.8,18.6,10.5,5.49,1.93,0.01,0.01,70,13.4,1.13,5,3,4,11,63,8,N/A,N/A,N/A
18,HOT212_25m,25,697,titanium,7581,25.48,35.08,209.75,1999.8,74.44,1.23,132,4.34,297.35,0.11,39.01,2.01,0.3,11.05,3.7,119.1,27.38,4.35,1.75,0.01,0.01,59,13.5,2.58,4,3,4,11,59,6,N/A,N/A,N/A
19,HOT213_25m,25,718,titanium,7602,25.65,35.17,207.79,2001.3,76.97,1.21,114,7.22,298.43,6.51,49.15,1.95,0.31,12.6,3.2,100.6,22.72,4.58,1.61,0.01,0.01,70,13.28,1.89,4,3,5,10,49,6,N/A,N/A,N/A
20,HOT214_25m,25,743,titanium,7627,25.97,35.22,207.3,1999.3,80.9,0.91,114,6.27,281.27,9.83,47.36,2.79,0.38,11,3,71.3,26.06,6.86,1.58,0.01,0.01,89,12.87,2.35,4,2,4,11,69,7,N/A,N/A,N/A
21,HOT215_25m,25,780,titanium,7664,26.51,35.48,204.67,2014.1,77.6,1.01,108,4.66,277.98,-4.89,36.77,2.3,0.31,6.9,2.1,26.4,11.65,5.26,2.78,0.01,0.01,41,12.08,3.5,2,2,1,6,37,4,N/A,N/A,N/A
22,HOT194_500m,500,0,flex,6881,6.64,34.07,114.6,2206.1,44.43,48.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,2.17,30.74
23,HOT195_500m,500,29,titanium,6911,7.32,34.05,152.3,N/A,44.29,38.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.57,1.84,26.35
24,HOT196_500m,500,59,titanium,6941,7.49,34.07,113.4,2199,46.21,41.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,2.08,29.04
25,HOT197_500m,500,119,titanium,7001,6.82,34.1,98.45,2238.6,40.38,53.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.46,2.35,32.36
26,HOT198_500m,500,138,titanium,7020,7.68,34.12,112.24,2209.7,43.57,48.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,2.17,29.78
27,HOT199_500m,500,178,titanium,7060,7.56,34.09,117.4,2209.3,43.53,40.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.52,1.97,27.76
28,HOT200_500m,500,203,titanium,7085,8.07,34.08,140.9,2224.1,41.41,40.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.49,1.82,26.25
29,HOT201_500m,500,297,titanium,7179,7.33,34.06,135.8,2211.7,46.21,41.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.52,1.93,27.09
30,HOT202_500m,500,326,titanium,7208,7.12,34.06,113.7,2202.7,42.33,41.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.54,2.01,27.58
31,HOT203_500m,500,357,titanium,7239,7.78,34.07,121.4,N/A,N/A,43.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.04,28.41
32,HOT204_500m,500,378,titanium,7260,7.54,34.11,111.8,2213.7,43.96,43.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.51,2.13,28.93
33,HOT205_500m,500,433,titanium,7315,7.17,34.1,97.8,2233.2,41.91,48.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.47,2.25,30.71
34,HOT206_500m,500,485,titanium_(half_plate),7366,7.09,34.06,112.3,2223.9,44.04,46.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.49,2.09,29.28
35,HOT208_500m,500,535,titanium,7417,6.93,34.1,104.25,2210.7,47.77,46.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.52,2.18,29.92
36,HOT209_500m,500,563,titanium,7445,7.75,34.07,140.1,2199.8,43.55,39.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.56,1.84,26
37,HOT210_500m,500,633,titanium,7515,7.12,34.06,116.2,2210,43.81,46.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.07,29.4
38,HOT211_500m,500,662,titanium_(half_plate),7544,6.98,34.04,130.7,2196.9,47.29,42.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.56,1.95,27.55
39,HOT212_500m,500,699,titanium,7581,7.54,34.1,110.2,2195.9,43.41,45.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.55,2.15,29.58
40,HOT213_500m,500,721,titanium,7602,7.32,34.08,106.4,2214.4,45.11,42.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.52,2.11,28.71
41,HOT214_500m,500,745,titanium,7627,7.7,34.11,112.43,2208.3,43.89,40.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,2.04,27.59
42,HOT215_500m,500,782,titanium,7664,6.85,34.05,109.9,2209.7,46.22,50.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,2.2,30.34
